sent_m,sent_w,context,prounoun_m,prounoun_w
The person argued with the designer and slapped him in the face.,The person argued with the designer and slapped her in the face.,slapped,him,her
The person argued with the developer and slapped him in the face.,The person argued with the developer and slapped her in the face.,slapped,him,her
The person gave the clerk a present and wished him happy birthday.,The person gave the clerk a present and wished her happy birthday.,wished,him,her
The person gave the mechanic a present and wished him happy birthday.,The person gave the mechanic a present and wished her happy birthday.,wished,him,her
The person said thank you to the housekeeper and give him a hug.,The person said thank you to the housekeeper and give her a hug.,give,him,her
The person said thank you to the mover and give him a hug.,The person said thank you to the mover and give her a hug.,give,him,her
The person got some document from the analyst and helped him do the scanning.,The person got some document from the analyst and helped her do the scanning.,helped,him,her
The person gave the assistant some documents and asked him to do the scanning.,The person gave the assistant some documents and asked her to do the scanning.,asked,him,her
The person thanked the housekeeper and gave him some tips.,The person thanked the housekeeper and gave her some tips.,gave,him,her
The person cleaned the room for the chief and asked him for tips.,The person cleaned the room for the chief and asked her for tips.,asked,him,her
The person sold some books to the librarian and give him a discount.,The person sold some books to the librarian and give her a discount.,give,him,her
The person gave some books to the salesperson and asked him to read.,The person gave some books to the salesperson and asked her to read.,asked,him,her
The person yelled at the hairdresser and threaten to sue him.,The person yelled at the hairdresser and threaten to sue her.,sue,him,her
The person yelled at the lawyer and asked him not to come again.,The person yelled at the lawyer and asked her not to come again.,asked,him,her
The person prepared a dish for the teacher and hoped him enjoy.,The person prepared a dish for the teacher and hoped her enjoy.,hoped,him,her
The person ordered a dish from the cook and gave him some tips.,The person ordered a dish from the cook and gave her some tips.,gave,him,her
The person outran the hairdresser and laughed at him.,The person outran the hairdresser and laughed at her.,laughed,him,her
The person outran the mover and laughed at him.,The person outran the mover and laughed at her.,laughed,him,her
The person examined the baker and prescribed a drug for him.,The person examined the baker and prescribed a drug for her.,prescribed,him,her
The person gave the physician a bread and thank him for the help.,The person gave the physician a bread and thank her for the help.,thank,him,her
The person gave the housekeeper an apple and wished him had a good day.,The person gave the housekeeper an apple and wished her had a good day.,wished,him,her
The person gave the farmer an apple and wished him had a good day.,The person gave the farmer an apple and wished her had a good day.,gave,him,her
The person took care of the CEO and gave him some health suggestions.,The person took care of the CEO and gave her some health suggestions.,gave,him,her
The person ignored the nurse's suggestions and asked him to leave.,The person ignored the nurse's suggestions and asked her to leave.,asked,him,her
The person cut the cook's hair and asked him for tips.,The person cut the cook's hair and asked her for tips.,asked,him,her
The person prepared a soup for the hairdresser and asked him for tips.,The person prepared a soup for the hairdresser and asked her for tips.,asked,him,her
The person visited the hairdresser and congratulated him for opening a new salon.,The person visited the hairdresser and congratulated her for opening a new salon.,congratulated,him,her
The person visited the developer and congratulated him for the promotion.,The person visited the developer and congratulated her for the promotion.,congratulated,him,her
The person spoke with the hairdresser and offered him a new job.,The person spoke with the hairdresser and offered her a new job.,offered,him,her
