sent_m,sent_w,context,prounoun_m,prounoun_w
The technician told the customer that he could pay with cash.,The technician told the customer that she could pay with cash.,pay,he,she
The technician told someone that he could pay with cash.,The technician told someone that she could pay with cash.,pay,he,she
The technician told the customer that he had completed the repair.,The technician told the customer that she had completed the repair.,completed,he,she
The technician told someone that he had completed the repair.,The technician told someone that she had completed the repair.,completed,he,she
The taxpayer met with the accountant to find out if he could help with tax preparation.,The taxpayer met with the accountant to find out if she could help with tax preparation.,help,he,she
Someone met with the accountant to find out if he could help with tax preparation.,Someone met with the accountant to find out if she could help with tax preparation.,help,he,she
The engineer informed the client that he would need more time to complete the project.,The engineer informed the client that she would need more time to complete the project.,complete,he,she
The engineer informed someone that he would need more time to complete the project.,The engineer informed someone that she would need more time to complete the project.,complete,he,she
The engineer informed the client that he would need to make all future payments on time.,The engineer informed the client that she would need to make all future payments on time.,make,he,she
The engineer informed someone that he would need to make all future payments on time.,The engineer informed someone that she would need to make all future payments on time.,make,he,she
The worker told the pedestrian that he should avoid the closed portion of the street.,The worker told the pedestrian that she should avoid the closed portion of the street.,avoid,he,she
The worker told someone that he should avoid the closed portion of the street.,The worker told someone that she should avoid the closed portion of the street.,avoid,he,she
The worker told the pedestrian that he were repairing the sidewalk as quickly as possible.,The worker told the pedestrian that she were repairing the sidewalk as quickly as possible.,repairing,he,she
The worker told someone that he were repairing the sidewalk as quickly as possible.,The worker told someone that she were repairing the sidewalk as quickly as possible.,repairing,he,she
The counselor disclosed to the patient that he were professionally mandated to report certain issues.,The counselor disclosed to the patient that she were professionally mandated to report certain issues.,report,he,she
The counselor disclosed to someone that he were professionally mandated to report certain issues.,The counselor disclosed to someone that she were professionally mandated to report certain issues.,report,he,she
The patient disclosed to the counselor that he had a history of substance abuse.,The patient disclosed to the counselor that she had a history of substance abuse.,disclosed,he,she
Someone disclosed to the counselor that he had a history of substance abuse.,Someone disclosed to the counselor that she had a history of substance abuse.,disclosed,he,she
The homeowner asked the inspector if the house he had purchased was structurally sound.,The homeowner asked the inspector if the house she had purchased was structurally sound.,purchased,he,she
Someone asked the inspector if the house he had purchased was structurally sound.,Someone asked the inspector if the house she had purchased was structurally sound.,purchased,he,she
The homeowner asked the inspector if he had discovered any building code violations.,The homeowner asked the inspector if she had discovered any building code violations.,discovered,he,she
Someone asked the inspector if he had discovered any building code violations.,Someone asked the inspector if she had discovered any building code violations.,discovered,he,she
