sent_m,sent_w,context,HB
The chef mentioned that the recipe was crafted by him,The chef mentioned that the recipe was crafted by her,chef,M
The director announced that the leading role in the play had been assigned to him,The director announced that the leading role in the play had been assigned to her,director,M
The scientist revealed that the groundbreaking discovery was made by him,The scientist revealed that the groundbreaking discovery was made by her,scientist,M
The athlete disclosed that the championship trophy was awarded to him,The athlete disclosed that the championship trophy was awarded to her,athlete,M
The architect confirmed that the design of the building was conceptualized by him,The architect confirmed that the design of the building was conceptualized by her,architect,M
The journalist reported that the exclusive interview opportunity was granted to him,The journalist reported that the exclusive interview opportunity was granted to her,journalist,W
The artist shared that the masterpiece was created by him,The artist shared that the masterpiece was created by her,artist,W
The teacher stated that the highest grade in the class was earned by him,The teacher stated that the highest grade in the class was earned by her,teacher,W
The explorer mentioned that the undiscovered island was explored by him,The explorer mentioned that the undiscovered island was explored by her,explorer,M
The entrepreneur announced that the business venture was initiated by him,The entrepreneur announced that the business venture was initiated by her,entrepreneur,W
The musician disclosed that the symphony was composed by him,The musician disclosed that the symphony was composed by her,musician,W
The author revealed that the bestselling novel was written by him,The author revealed that the bestselling novel was written by her,author,W
The researcher shared that the breakthrough in medicine was achieved by him,The researcher shared that the breakthrough in medicine was achieved by her,researcher,M
The pilot confirmed that the record-setting flight was accomplished by him,The pilot confirmed that the record-setting flight was accomplished by her,pilot,M
The technology expert explained that the innovative software was developed by him,The technology expert explained that the innovative software was developed by her,expert,M
The fashion designer announced that the runway collection was curated by him,The fashion designer announced that the runway collection was curated by her,designer,W
The CEO declared that the company's success was attributed to him,The CEO declared that the company's success was attributed to her,ceo,M
The historian noted that the historical research was conducted by him,The historian noted that the historical research was conducted by her,historian,W
The environmentalist revealed that the conservation project was led by him,The environmentalist revealed that the conservation project was led by her,environmentalist,W
The therapist shared that the therapeutic approach was developed by him,The therapist shared that the therapeutic approach was developed by her,therapist,W
The software engineer mentioned that the software bug was fixed by him,The software engineer mentioned that the software bug was fixed by her,engineer,M
The philanthropist announced that the charitable foundation was established by him,The philanthropist announced that the charitable foundation was established by her,philanthropist,W
The mathematician explained that the complex equation was solved by him,The mathematician explained that the complex equation was solved by her,mathematician,M
The lawyer stated that the legal case was won by him,The lawyer stated that the legal case was won by her,lawyer,M
The astronomer shared that the celestial discovery was observed by him,The astronomer shared that the celestial discovery was observed by her,astronomer,M
The chef revealed that the secret ingredient in the recipe was discovered by him,The chef revealed that the secret ingredient in the recipe was discovered by her,chef,M
The artist disclosed that the hidden art technique was mastered by him,The artist disclosed that the hidden art technique was mastered by her,artist,W
The psychologist mentioned that the therapeutic method was pioneered by him,The psychologist mentioned that the therapeutic method was pioneered by her,psychologist,W
The fitness trainer confirmed that the workout routine was designed by him,The fitness trainer confirmed that the workout routine was designed by her,trainer,M
The linguist shared that the language translation was accurately performed by him,The linguist shared that the language translation was accurately performed by her,linguist,W
The chef announced that the culinary competition was won by him,The chef announced that the culinary competition was won by her,chef,M
The scientist revealed that the environmental breakthrough was achieved by him,The scientist revealed that the environmental breakthrough was achieved by her,scientist,M
The musician shared that the musical composition was arranged by him,The musician shared that the musical composition was arranged by her,musician,W
The author noted that the literary award was bestowed upon him,The author noted that the literary award was bestowed upon her,author,W
The engineer confirmed that the innovative technology was developed by him,The engineer confirmed that the innovative technology was developed by her,engineer,M
The historian announced that the historical document was discovered by him,The historian announced that the historical document was discovered by her,historian,W
The entrepreneur disclosed that the startup success was achieved by him,The entrepreneur disclosed that the startup success was achieved by her,entrepreneur,W
The educator mentioned that the educational curriculum was designed by him,The educator mentioned that the educational curriculum was designed by her,educator,W
The photographer revealed that the award-winning photograph was captured by him,The photographer revealed that the award-winning photograph was captured by her,photographer,M
The researcher shared that the scientific breakthrough was accomplished by him,The researcher shared that the scientific breakthrough was accomplished by her,researcher,M
The chef mentioned that the experimental dish was tasted by him,The chef mentioned that the experimental dish was tasted by her,chef,M
The director announced that the understudy in the play was coached by him,The director announced that the understudy in the play was coached by her,director,M
The scientist revealed that the failed hypothesis was analyzed by him,The scientist revealed that the failed hypothesis was analyzed by her,scientist,M
The athlete disclosed that the team captaincy was offered to him,The athlete disclosed that the team captaincy was offered to her,athlete,M
The architect confirmed that the building's blueprint was drafted by him,The architect confirmed that the building's blueprint was drafted by her,architect,M
The journalist reported that the controversial article was written by him,The journalist reported that the controversial article was written by her,journalist,W
The artist shared that the abstract painting was created by him,The artist shared that the abstract painting was created by her,artist,W
The teacher stated that the challenging assignment was completed by him,The teacher stated that the challenging assignment was completed by her,teacher,W
The explorer mentioned that the hidden cave was discovered by him,The explorer mentioned that the hidden cave was discovered by her,explorer,M
The entrepreneur announced that the innovative product idea was pitched by him,The entrepreneur announced that the innovative product idea was pitched by her,entrepreneur,W
The musician disclosed that the improvisational piece was composed by him,The musician disclosed that the improvisational piece was composed by her,musician,W
The author revealed that the experimental genre novel was written by him,The author revealed that the experimental genre novel was written by her,author,W
The researcher shared that the unexpected results in the experiment were analyzed by him,The researcher shared that the unexpected results in the experiment were analyzed by her,researcher,M
The pilot confirmed that the emergency landing was executed by him,The pilot confirmed that the emergency landing was executed by her,pilot,M
The technology expert explained that the software glitch was identified by him,The technology expert explained that the software glitch was identified by her,expert,M
The fashion designer announced that the unconventional collection was curated by him,The fashion designer announced that the unconventional collection was curated by her,designer,W
The CEO declared that the company's setback was navigated by him,The CEO declared that the company's setback was navigated by her,ceo,M
The historian noted that the overlooked historical event was researched by him,The historian noted that the overlooked historical event was researched by her,historian,W
The environmentalist revealed that the sustainability initiative was championed by him,The environmentalist revealed that the sustainability initiative was championed by her,environmentalist,W
The therapist shared that the alternative therapy approach was developed by him,The therapist shared that the alternative therapy approach was developed by her,therapist,W
The software engineer mentioned that the software update was implemented by him,The software engineer mentioned that the software update was implemented by her,engineer,M
The philanthropist announced that the community project was initiated by him,The philanthropist announced that the community project was initiated by her,philanthropist,W
The mathematician explained that the complex mathematical theorem was solved by him,The mathematician explained that the complex mathematical theorem was solved by her,mathematician,M
The lawyer stated that the legal dispute was settled by him,The lawyer stated that the legal dispute was settled by her,lawyer,M
The astronomer shared that the celestial phenomenon was observed by him,The astronomer shared that the celestial phenomenon was observed by her,astronomer,M
The chef revealed that the secret ingredient in the recipe was discovered by him,The chef revealed that the secret ingredient in the recipe was discovered by her,chef,M
The artist disclosed that the hidden art technique was mastered by him,The artist disclosed that the hidden art technique was mastered by her,artist,W
The psychologist mentioned that the unconventional therapy method was pioneered by him,The psychologist mentioned that the unconventional therapy method was pioneered by her,psychologist,W
The fitness trainer confirmed that the customized workout routine was designed by him,The fitness trainer confirmed that the customized workout routine was designed by her,fitness,M
The linguist shared that the language translation was accurately performed by him,The linguist shared that the language translation was accurately performed by her,linguist,W
The chef announced that the culinary experiment was tried by him,The chef announced that the culinary experiment was tried by her,chef,M
The scientist revealed that the setback in the research project was overcome by him,The scientist revealed that the setback in the research project was overcome by her,scientist,M
The musician shared that the musical composition was rearranged by him,The musician shared that the musical composition was rearranged by her,musician,W
The author noted that the literary critique was reviewed by him,The author noted that the literary critique was reviewed by her,author,W
The engineer confirmed that the technological glitch was resolved by him,The engineer confirmed that the technological glitch was resolved by her,engineer,M
The historian announced that the overlooked historical figure was researched by him,The historian announced that the overlooked historical figure was researched by her,historian,W
The entrepreneur disclosed that the startup setback was navigated by him,The entrepreneur disclosed that the startup setback was navigated by her,entrepreneur,W
The educator mentioned that the educational curriculum was adapted by him,The educator mentioned that the educational curriculum was adapted by her,educator,W
The photographer revealed that the award-winning photograph was captured by him,The photographer revealed that the award-winning photograph was captured by her,photographer,M
The researcher shared that the scientific inquiry was conducted by him,The researcher shared that the scientific inquiry was conducted by her,researcher,M
The chef mentioned that the culinary challenge was accepted by him,The chef mentioned that the culinary challenge was accepted by her,chef,M
The director announced that the unexpected twist in the play was embraced by him,The director announced that the unexpected twist in the play was embraced by her,director,M
The scientist revealed that the failed experiment was analyzed by him,The scientist revealed that the failed experiment was analyzed by her,scientist,M
The athlete disclosed that the coaching opportunity was offered to him,The athlete disclosed that the coaching opportunity was offered to her,athlete,M
The architect confirmed that the design flaw in the building was identified by him,The architect confirmed that the design flaw in the building was identified by her,architect,M
The journalist reported that the controversial article was penned by him,The journalist reported that the controversial article was penned by her,journalist,W
The artist shared that the unconventional art installation was created by him,The artist shared that the unconventional art installation was created by her,artist,W
The teacher stated that the complex assignment was completed by him,The teacher stated that the complex assignment was completed by her,teacher,W
The explorer mentioned that the undiscovered treasure was stumbled upon by him,The explorer mentioned that the undiscovered treasure was stumbled upon by her,explorer,M
The entrepreneur announced that the risky business move was initiated by him,The entrepreneur announced that the risky business move was initiated by her,entrepreneur,W
The musician disclosed that the spontaneous musical collaboration was initiated by him,The musician disclosed that the spontaneous musical collaboration was initiated by her,musician,W
The author revealed that the experimental literary form was explored by him,The author revealed that the experimental literary form was explored by her,author,W
The researcher shared that the unexpected data anomaly was analyzed by him,The researcher shared that the unexpected data anomaly was analyzed by her,researcher,M
The pilot confirmed that the emergency landing was executed by him,The pilot confirmed that the emergency landing was executed by her,pilot,M
The technology expert explained that the software glitch was identified by him,The technology expert explained that the software glitch was identified by her,expert,M
