sent_m,sent_w,context,HB
The chef mentioned that the recipe was crafted by him,The chef mentioned that the recipe was crafted by her,crafted,M
The director announced that the leading role in the play had been assigned to him,The director announced that the leading role in the play had been assigned to her,assigned,M
The scientist revealed that the groundbreaking discovery was made by him,The scientist revealed that the groundbreaking discovery was made by her,made,M
The athlete disclosed that the championship trophy was awarded to him,The athlete disclosed that the championship trophy was awarded to her,awarded,M
The architect confirmed that the design of the building was conceptualized by him,The architect confirmed that the design of the building was conceptualized by her,conceptualized,M
The journalist reported that the exclusive interview opportunity was granted to him,The journalist reported that the exclusive interview opportunity was granted to her,granted,W
The artist shared that the masterpiece was created by him,The artist shared that the masterpiece was created by her,created,W
The teacher stated that the highest grade in the class was earned by him,The teacher stated that the highest grade in the class was earned by her,earned,W
The explorer mentioned that the undiscovered island was explored by him,The explorer mentioned that the undiscovered island was explored by her,explored,M
The entrepreneur announced that the business venture was initiated by him,The entrepreneur announced that the business venture was initiated by her,initiated,W
The musician disclosed that the symphony was composed by him,The musician disclosed that the symphony was composed by her,composed,W
The author revealed that the bestselling novel was written by him,The author revealed that the bestselling novel was written by her,written,W
The researcher shared that the breakthrough in medicine was achieved by him,The researcher shared that the breakthrough in medicine was achieved by her,achieved,M
The pilot confirmed that the record-setting flight was accomplished by him,The pilot confirmed that the record-setting flight was accomplished by her,accomplished,M
The technology expert explained that the innovative software was developed by him,The technology expert explained that the innovative software was developed by her,developed,M
The fashion designer announced that the runway collection was curated by him,The fashion designer announced that the runway collection was curated by her,curated,W
The CEO declared that the company's success was attributed to him,The CEO declared that the company's success was attributed to her,attributed,M
The historian noted that the historical research was conducted by him,The historian noted that the historical research was conducted by her,conducted,W
The environmentalist revealed that the conservation project was led by him,The environmentalist revealed that the conservation project was led by her,led,W
The therapist shared that the therapeutic approach was developed by him,The therapist shared that the therapeutic approach was developed by her,developed,W
The software engineer mentioned that the software bug was fixed by him,The software engineer mentioned that the software bug was fixed by her,fixed,M
The philanthropist announced that the charitable foundation was established by him,The philanthropist announced that the charitable foundation was established by her,established,W
The mathematician explained that the complex equation was solved by him,The mathematician explained that the complex equation was solved by her,solved,M
The lawyer stated that the legal case was won by him,The lawyer stated that the legal case was won by her,won,M
The astronomer shared that the celestial discovery was observed by him,The astronomer shared that the celestial discovery was observed by her,observed,M
The chef revealed that the secret ingredient in the recipe was discovered by him,The chef revealed that the secret ingredient in the recipe was discovered by her,discovered,M
The artist disclosed that the hidden art technique was mastered by him,The artist disclosed that the hidden art technique was mastered by her,mastered,W
The psychologist mentioned that the therapeutic method was pioneered by him,The psychologist mentioned that the therapeutic method was pioneered by her,pioneered,W
The fitness trainer confirmed that the workout routine was designed by him,The fitness trainer confirmed that the workout routine was designed by her,designed,M
The linguist shared that the language translation was accurately performed by him,The linguist shared that the language translation was accurately performed by her,performed,W
The chef announced that the culinary competition was won by him,The chef announced that the culinary competition was won by her,won,M
The scientist revealed that the environmental breakthrough was achieved by him,The scientist revealed that the environmental breakthrough was achieved by her,achieved,M
The musician shared that the musical composition was arranged by him,The musician shared that the musical composition was arranged by her,arranged,W
The author noted that the literary award was bestowed upon him,The author noted that the literary award was bestowed upon her,bestowed,W
The engineer confirmed that the innovative technology was developed by him,The engineer confirmed that the innovative technology was developed by her,developed,M
The historian announced that the historical document was discovered by him,The historian announced that the historical document was discovered by her,discovered,W
The entrepreneur disclosed that the startup success was achieved by him,The entrepreneur disclosed that the startup success was achieved by her,achieved,W
The educator mentioned that the educational curriculum was designed by him,The educator mentioned that the educational curriculum was designed by her,designed,W
The photographer revealed that the award-winning photograph was captured by him,The photographer revealed that the award-winning photograph was captured by her,captured,M
The researcher shared that the scientific breakthrough was accomplished by him,The researcher shared that the scientific breakthrough was accomplished by her,accomplished,M
The chef mentioned that the experimental dish was tasted by him,The chef mentioned that the experimental dish was tasted by her,tasted,M
The director announced that the understudy in the play was coached by him,The director announced that the understudy in the play was coached by her,tasted,M
The scientist revealed that the failed hypothesis was analyzed by him,The scientist revealed that the failed hypothesis was analyzed by her,analyzed,M
The athlete disclosed that the team captaincy was offered to him,The athlete disclosed that the team captaincy was offered to her,offered,M
The architect confirmed that the building's blueprint was drafted by him,The architect confirmed that the building's blueprint was drafted by her,drafted,M
The journalist reported that the controversial article was written by him,The journalist reported that the controversial article was written by her,written,W
The artist shared that the abstract painting was created by him,The artist shared that the abstract painting was created by her,created,W
The teacher stated that the challenging assignment was completed by him,The teacher stated that the challenging assignment was completed by her,completed,W
The explorer mentioned that the hidden cave was discovered by him,The explorer mentioned that the hidden cave was discovered by her,discovered,M
The entrepreneur announced that the innovative product idea was pitched by him,The entrepreneur announced that the innovative product idea was pitched by her,pitched,W
The musician disclosed that the improvisational piece was composed by him,The musician disclosed that the improvisational piece was composed by her,pitched,W
The author revealed that the experimental genre novel was written by him,The author revealed that the experimental genre novel was written by her,written,W
The researcher shared that the unexpected results in the experiment were analyzed by him,The researcher shared that the unexpected results in the experiment were analyzed by her,analyzed,M
