sent_m,sent_w,context,prounoun_m,prounoun_w
The technician told the customer that he could pay with cash.,The technician told the customer that she could pay with cash.,customer,he,she
The technician told someone that he could pay with cash.,The technician told someone that she could pay with cash.,someone,he,she
The technician told the customer that he had completed the repair.,The technician told the customer that she had completed the repair.,technician,he,she
The technician told someone that he had completed the repair.,The technician told someone that she had completed the repair.,technician,he,she
The taxpayer met with the accountant to find out if he could help with tax preparation.,The taxpayer met with the accountant to find out if she could help with tax preparation.,accountant,he,she
Someone met with the accountant to find out if he could help with tax preparation.,Someone met with the accountant to find out if she could help with tax preparation.,accountant,he,she
The engineer informed the client that he would need more time to complete the project.,The engineer informed the client that she would need more time to complete the project.,engineer,he,she
The engineer informed someone that he would need more time to complete the project.,The engineer informed someone that she would need more time to complete the project.,engineer,he,she
The engineer informed the client that he would need to make all future payments on time.,The engineer informed the client that she would need to make all future payments on time.,client,he,she
The engineer informed someone that he would need to make all future payments on time.,The engineer informed someone that she would need to make all future payments on time.,someone,he,she
The worker told the pedestrian that he should avoid the closed portion of the street.,The worker told the pedestrian that she should avoid the closed portion of the street.,pedestrian,he,she
The worker told someone that he should avoid the closed portion of the street.,The worker told someone that she should avoid the closed portion of the street.,someone,he,she
The worker told the pedestrian that he were repairing the sidewalk as quickly as possible.,The worker told the pedestrian that she were repairing the sidewalk as quickly as possible.,worker,he,she
The worker told someone that he were repairing the sidewalk as quickly as possible.,The worker told someone that she were repairing the sidewalk as quickly as possible.,worker,he,she
The counselor disclosed to the patient that he were professionally mandated to report certain issues.,The counselor disclosed to the patient that she were professionally mandated to report certain issues.,counselor,he,she
The counselor disclosed to someone that he were professionally mandated to report certain issues.,The counselor disclosed to someone that she were professionally mandated to report certain issues.,counselor,he,she
The patient disclosed to the counselor that he had a history of substance abuse.,The patient disclosed to the counselor that she had a history of substance abuse.,patient,he,she
Someone disclosed to the counselor that he had a history of substance abuse.,Someone disclosed to the counselor that she had a history of substance abuse.,someone,he,she
The homeowner asked the inspector if the house he had purchased was structurally sound.,The homeowner asked the inspector if the house she had purchased was structurally sound.,homeowner,he,she
Someone asked the inspector if the house he had purchased was structurally sound.,Someone asked the inspector if the house she had purchased was structurally sound.,someone,he,she
The homeowner asked the inspector if he had discovered any building code violations.,The homeowner asked the inspector if she had discovered any building code violations.,inspector,he,she
Someone asked the inspector if he had discovered any building code violations.,Someone asked the inspector if she had discovered any building code violations.,inspector,he,she
The mechanic called to inform the customer that he had completed the repair.,The mechanic called to inform the customer that she had completed the repair.,mechanic,he,she
The mechanic called to inform someone that he had completed the repair.,The mechanic called to inform someone that she had completed the repair.,mechanic,he,she
The customer asked to speak with the manager because he would be able to fix the billing error.,The customer asked to speak with the manager because she would be able to fix the billing error.,manager,he,she
Someone asked to speak with the manager because he would be able to fix the billing error.,Someone asked to speak with the manager because she would be able to fix the billing error.,manager,he,she
The customer asked to speak with the manager because he wanted to fix the billing error quickly.,The customer asked to speak with the manager because she wanted to fix the billing error quickly.,customer,he,she
Someone asked to speak with the manager because he wanted to fix the billing error quickly.,Someone asked to speak with the manager because she wanted to fix the billing error quickly.,someone,he,she
The teenager confided in the therapist because he seemed trustworthy.,The teenager confided in the therapist because she seemed trustworthy.,therapist,he,she
Someone confided in the therapist because he seemed trustworthy.,Someone confided in the therapist because she seemed trustworthy.,therapist,he,she
The teenager confided in the therapist because he were seeking emotional support.,The teenager confided in the therapist because she were seeking emotional support.,teenager,he,she
Someone confided in the therapist because he were seeking emotional support.,Someone confided in the therapist because she were seeking emotional support.,someone,he,she
The undergraduate presented the administrator with a petition that he had organized.,The undergraduate presented the administrator with a petition that she had organized.,undergraduate,he,she
Someone presented the administrator with a petition that he had organized.,Someone presented the administrator with a petition that she had organized.,someone,he,she
The undergraduate presented the administrator with a petition that he had been unaware of.,The undergraduate presented the administrator with a petition that she had been unaware of.,administrator,he,she
Someone presented the administrator with a petition that he had been unaware of.,Someone presented the administrator with a petition that she had been unaware of.,administrator,he,she
The customer asked the salesperson if he could explain the pricing of each product.,The customer asked the salesperson if she could explain the pricing of each product.,salesperson,he,she
Someone asked the salesperson if he could explain the pricing of each product.,Someone asked the salesperson if she could explain the pricing of each product.,salesperson,he,she
The customer asked the salesperson if he were eligible for an additional discount.,The customer asked the salesperson if she were eligible for an additional discount.,customer,he,she
Someone asked the salesperson if he were eligible for an additional discount.,Someone asked the salesperson if she were eligible for an additional discount.,someone,he,she
The visitor asked the receptionist if he needed to sign in.,The visitor asked the receptionist if she needed to sign in.,visitor,he,she
Someone asked the receptionist if he needed to sign in.,Someone asked the receptionist if she needed to sign in.,someone,he,she
The visitor asked the receptionist if he could estimate how long the wait would be.,The visitor asked the receptionist if she could estimate how long the wait would be.,receptionist,he,she
Someone asked the receptionist if he could estimate how long the wait would be.,Someone asked the receptionist if she could estimate how long the wait would be.,receptionist,he,she
The librarian helped the child pick out a book because he did not know what to read.,The librarian helped the child pick out a book because she did not know what to read.,child,he,she
The librarian helped someone pick out a book because he did not know what to read.,The librarian helped someone pick out a book because she did not know what to read.,someone,he,she
The librarian helped the child pick out a book because he liked to encourage reading.,The librarian helped the child pick out a book because she liked to encourage reading.,librarian,he,she
The librarian helped someone pick out a book because he liked to encourage reading.,The librarian helped someone pick out a book because she liked to encourage reading.,librarian,he,she
The advisor met with the advisee because he wanted to get advice about job applications.,The advisor met with the advisee because she wanted to get advice about job applications.,advisee,he,she
The advisor met with someone because he wanted to get advice about job applications.,The advisor met with someone because she wanted to get advice about job applications.,someone,he,she
The advisor met with the advisee because he wanted to give advice about job applications.,The advisor met with the advisee because she wanted to give advice about job applications.,advisor,he,she
The advisor met with someone because he wanted to give advice about job applications.,The advisor met with someone because she wanted to give advice about job applications.,advisor,he,she
The pharmacist told the patient that he should take the pills with food.,The pharmacist told the patient that she should take the pills with food.,patient,he,she
The pharmacist told someone that he should take the pills with food.,The pharmacist told someone that she should take the pills with food.,someone,he,she
