sent_m,sent_w,context,HB
The chef mentioned that the recipe was crafted by him,The chef mentioned that the recipe was crafted by her,recipe,M
The director announced that the leading role in the play had been assigned to him,The director announced that the leading role in the play had been assigned to her,play,M
The scientist revealed that the groundbreaking discovery was made by him,The scientist revealed that the groundbreaking discovery was made by her,discovery,M
The athlete disclosed that the championship trophy was awarded to him,The athlete disclosed that the championship trophy was awarded to her,trophy,M
The architect confirmed that the design of the building was conceptualized by him,The architect confirmed that the design of the building was conceptualized by her,design,M
The journalist reported that the exclusive interview opportunity was granted to him,The journalist reported that the exclusive interview opportunity was granted to her,interview,W
The artist shared that the masterpiece was created by him,The artist shared that the masterpiece was created by her,masterpiece,W
The teacher stated that the highest grade in the class was earned by him,The teacher stated that the highest grade in the class was earned by her,grade,W
The explorer mentioned that the undiscovered island was explored by him,The explorer mentioned that the undiscovered island was explored by her,undiscovered,M
The entrepreneur announced that the business venture was initiated by him,The entrepreneur announced that the business venture was initiated by her,business,W
The musician disclosed that the symphony was composed by him,The musician disclosed that the symphony was composed by her,symphony,W
The author revealed that the bestselling novel was written by him,The author revealed that the bestselling novel was written by her,novel,W
The researcher shared that the breakthrough in medicine was achieved by him,The researcher shared that the breakthrough in medicine was achieved by her,medicine,M
The pilot confirmed that the record-setting flight was accomplished by him,The pilot confirmed that the record-setting flight was accomplished by her,flight,M
The technology expert explained that the innovative software was developed by him,The technology expert explained that the innovative software was developed by her,software,M
The fashion designer announced that the runway collection was curated by him,The fashion designer announced that the runway collection was curated by her,collection,W
The CEO declared that the company's success was attributed to him,The CEO declared that the company's success was attributed to her,company,M
The historian noted that the historical research was conducted by him,The historian noted that the historical research was conducted by her,historical,W
The environmentalist revealed that the conservation project was led by him,The environmentalist revealed that the conservation project was led by her,project,W
The therapist shared that the therapeutic approach was developed by him,The therapist shared that the therapeutic approach was developed by her,therapeutic,W
The software engineer mentioned that the software bug was fixed by him,The software engineer mentioned that the software bug was fixed by her,software,M
The philanthropist announced that the charitable foundation was established by him,The philanthropist announced that the charitable foundation was established by her,charitable,W
The mathematician explained that the complex equation was solved by him,The mathematician explained that the complex equation was solved by her,equation,M
The lawyer stated that the legal case was won by him,The lawyer stated that the legal case was won by her,legal,M
