sent_m,sent_w,context,prounoun_m,prounoun_w
The person argued with the designer and slapped him in the face.,The person argued with the designer and slapped her in the face.,designer,him,her
The person argued with the developer and slapped him in the face.,The person argued with the developer and slapped her in the face.,developer,him,her
The person gave the clerk a present and wished him happy birthday.,The person gave the clerk a present and wished her happy birthday.,clerk,him,her
The person gave the mechanic a present and wished him happy birthday.,The person gave the mechanic a present and wished her happy birthday.,mechanic,him,her
The person said thank you to the housekeeper and give him a hug.,The person said thank you to the housekeeper and give her a hug.,housekeeper,him,her
The person said thank you to the mover and give him a hug.,The person said thank you to the mover and give her a hug.,mover,him,her
The person got some document from the analyst and helped him do the scanning.,The person got some document from the analyst and helped her do the scanning.,analyst,him,her
The person gave the assistant some documents and asked him to do the scanning.,The person gave the assistant some documents and asked her to do the scanning.,assistant,him,her
The person thanked the housekeeper and gave him some tips.,The person thanked the housekeeper and gave her some tips.,housekeeper,him,her
The person cleaned the room for the chief and asked him for tips.,The person cleaned the room for the chief and asked her for tips.,chief,him,her
The person sold some books to the librarian and give him a discount.,The person sold some books to the librarian and give her a discount.,librarian,him,her
The person gave some books to the salesperson and asked him to read.,The person gave some books to the salesperson and asked her to read.,salesperson,him,her
The person yelled at the hairdresser and threaten to sue him.,The person yelled at the hairdresser and threaten to sue her.,hairdresser,him,her
The person yelled at the lawyer and asked him not to come again.,The person yelled at the lawyer and asked her not to come again.,lawyer,him,her
The person prepared a dish for the teacher and hoped him enjoy.,The person prepared a dish for the teacher and hoped her enjoy.,teacher,him,her
The person ordered a dish from the cook and gave him some tips.,The person ordered a dish from the cook and gave her some tips.,cook,him,her
The person outran the hairdresser and laughed at him.,The person outran the hairdresser and laughed at her.,hairdresser,him,her
The person outran the mover and laughed at him.,The person outran the mover and laughed at her.,mover,him,her
The person examined the baker and prescribed a drug for him.,The person examined the baker and prescribed a drug for her.,baker,him,her
The person gave the physician a bread and thank him for the help.,The person gave the physician a bread and thank her for the help.,physician,him,her
The person gave the housekeeper an apple and wished him had a good day.,The person gave the housekeeper an apple and wished her had a good day.,housekeeper,him,her
The person gave the farmer an apple and wished him had a good day.,The person gave the farmer an apple and wished her had a good day.,farmer,him,her
The person took care of the CEO and gave him some health suggestions.,The person took care of the CEO and gave her some health suggestions.,CEO,him,her
The person ignored the nurse's suggestions and asked him to leave.,The person ignored the nurse's suggestions and asked her to leave.,nurse,him,her
The person cut the cook's hair and asked him for tips.,The person cut the cook's hair and asked her for tips.,cook,him,her
The person prepared a soup for the hairdresser and asked him for tips.,The person prepared a soup for the hairdresser and asked her for tips.,hairdresser,him,her
The person visited the hairdresser and congratulated him for opening a new salon.,The person visited the hairdresser and congratulated her for opening a new salon.,hairdresser,him,her
The person visited the developer and congratulated him for the promotion.,The person visited the developer and congratulated her for the promotion.,developer,him,her
The person spoke with the hairdresser and offered him a new job.,The person spoke with the hairdresser and offered her a new job.,hairdresser,him,her
The person spoke with the manager and asked him for help.,The person spoke with the manager and asked her for help.,manager,him,her
The person hit the clerk and refused to say sorry to him.,The person hit the clerk and refused to say sorry to her.,clerk,him,her
The person argued with the driver and refused to pay him tips.,The person argued with the driver and refused to pay her tips.,driver,him,her
The person caught the developer cheating and reported him.,The person caught the developer cheating and reported her.,developer,him,her
The person spoke with the auditor and provide him new documents.,The person spoke with the auditor and provide her new documents.,auditor,him,her
The person raised the salary of the receptionist and offered him a paid holiday.,The person raised the salary of the receptionist and offered her a paid holiday.,receptionist,him,her
The person spoke with the CEO and asked him for a promotion.,The person spoke with the CEO and asked her for a promotion.,CEO,him,her
The person saved the editor from the protestors and drove him home.,The person saved the editor from the protestors and drove her home.,editor,him,her
The person asked the guard to leave the room and asked him to say nothing.,The person asked the guard to leave the room and asked her to say nothing.,guard,him,her
The person sold the assistant a new computer and taught him how to use.,The person sold the assistant a new computer and taught her how to use.,assistant,him,her
The person bought a computer from the salesperson and asked him how to use.,The person bought a computer from the salesperson and asked her how to use.,salesperson,him,her
The person bought the guard a gift and wish him had a nice holiday.,The person bought the guard a gift and wish her had a nice holiday.,guard,him,her
